epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
26,2596.04,1.49709,1.26981,1.30979,61.808664052787606,69.73502184314542,74.33311792611407,52.74075824716888,1.38663,1.09091,1.26337,0.0087625,0.0087625,0.0087625
27,2694.95,1.49974,1.25617,1.31376,66.35341876255139,72.09729301019347,75.58849501326061,54.23917282127031,1.34774,1.07315,1.25207,0.008713,0.008713,0.008713
28,2794.19,1.49769,1.24363,1.29888,67.00000956297217,71.03216663199501,75.42661462029808,54.467799113737065,1.35468,1.0548,1.23594,0.0086635,0.0086635,0.0086635
29,2893.27,1.49201,1.24217,1.3035,71.44151286219757,71.40555439983358,76.76239587613462,54.97120630231414,1.34029,1.04582,1.23352,0.008614,0.008614,0.008614
30,2992.44,1.47602,1.22232,1.2921,70.6104236396672,70.32100322446432,76.49223786933621,54.34006893156081,1.36326,1.04601,1.24564,0.0085645,0.0085645,0.0085645
31,3092.04,1.4748,1.21359,1.29581,66.99831691689778,73.02428749739963,76.96715849239848,56.20020679468242,1.33414,1.02994,1.23343,0.008515,0.008515,0.008515
32,3191.53,1.47042,1.20184,1.29175,70.11786363201684,73.08364104431038,77.51926711740315,56.571590349581484,1.33329,1.02554,1.22683,0.0084655,0.0084655,0.0084655
33,3290.46,1.44444,1.18249,1.27676,68.5284689681553,74.19301279384231,77.96524223973702,55.9801674052191,1.3353,1.0125,1.22155,0.008416,0.008416,0.008416
34,3389.37,1.45392,1.18981,1.27672,70.68151477479202,73.45594965675058,77.61039184191849,57.45067454455933,1.29863,0.99426,1.21043,0.0083665,0.0083665,0.0083665
35,3488.52,1.44747,1.17826,1.27464,76.17245864014535,73.92430309964635,78.65671809047102,56.77230920728705,1.29835,0.99316,1.21655,0.008317,0.008317,0.008317
36,3587.31,1.45209,1.18393,1.27635,67.36392846896815,74.48114728520908,78.70281648051996,57.272496307237816,1.30159,0.97436,1.20978,0.0082675,0.0082675,0.0082675
